"Ticker
","Name
","Inception Date
","Fund Asset Class Focus
","Parent Comp. Name
","Fund Industry Focus
","Tot Asset (M)
"
STITX US Equity,VIRTUS SGA INTL GRWTH-I,1/31/1995,Equity,Virtus Asset Trust,N.A.,43.346
WBIG US Equity,WBI BULLBEAR YIELD 3000 ETF,8/27/2014,Equity,WBI ETFs/USA,N.A.,43.283
GFVAX US Equity,GLDMN SCHS FOCUS VAL-A,7/31/2015,Equity,Goldman Sachs Trust,N.A.,43.259
UTES US Equity,VIRTUS REAVES UTILITIES ETF,9/24/2015,Equity,ETFis Series Trust I,Utilities,43.239
DYAPX US Equity,BNYM INTL SMALL CAP-A,1/30/2015,Equity,Dreyfus Funds/USA,N.A.,43.072
WBLIX US Equity,WM BLAIR LOW DURATION-I,12/1/2009,Fixed Income,William Blair Funds,N.A.,43.048
FIBPX US Equity,FEDERATED HRMS INTL BND ST P,12/24/2008,Fixed Income,Federated Funds/USA,N.A.,42.935
AAEMX US Equity,ALGER EMERGING MARKETS-A,12/29/2010,Equity,Alger Funds II,N.A.,42.846
SSEMX US Equity,STATE ST DEF EMG MRKT EQ-N,3/1/1994,Equity,State Street Institutional Investment Trust,N.A.,42.744
CUBA US Equity,HERZFELD CARIBBEAN BASIN,3/10/1992,Equity,Herzfeld Funds/Closed-end/USA,N.A.,42.677
FCHPX US Equity,FIDELITY MUNI INC 2023 FUND,4/23/2013,Fixed Income,Fidelity Salem Street Trust,N.A.,42.596
GWSVX US Equity,GABELLI FOCUS FIVE FUND-AAA,12/31/2002,Equity,Gabelli Equity Series Funds Inc,N.A.,42.595
GALLX US Equity,GLDMN SCHS FLXBL CAP-A,1/31/2008,Equity,Goldman Sachs Trust,N.A.,42.573
MGGAX US Equity,MIROVA GLOBAL GREEN BOND-A,2/28/2017,Fixed Income,Natixis Funds Trust I,Thematic,42.41
PPTAX US Equity,VIRTUS KAR GL QLTY DVD-A,7/29/2005,Equity,Virtus Equity Trust,N.A.,42.326
SHLDX US Equity,ZIEGLER FAMCO HDG EQTY-INST,12/18/2020,Equity,Trust for Advised Portfolios/Ziegler Capital Management LLC,N.A.,42.323
CIF US Equity,MFS INTERMEDIATE HIGH INC FN,7/29/1988,Fixed Income,MFS Funds/Closed-end/USA,N.A.,42
CCHYX US Equity,CALAMOS HIGH INCOME FUND-C,12/21/2000,Fixed Income,Calamos Investment Trust,N.A.,41.961
PJDAX US Equity,PGIM JENN RSNG DVD-A,3/5/2014,Equity,Prudential Investment Portfolios 5,N.A.,41.881
REIAX US Equity,WEST LOOP REALTY FUND-A,12/31/2013,Equity,Investment Managers Series Trust,Real Estate,41.814
KOCT US Equity,INNOVATOR U.S. SMALL CAP POW,10/1/2019,Equity,Innovator ETF Trust,N.A.,41.748
GBSAX US Equity,AMERICAN BEACON B&G S/C-A,7/15/2014,Equity,American Beacon Funds,N.A.,41.644
AWTM US Equity,NATIONAL INVESTMENT SERVICES,1/28/2019,Fixed Income,Tidal ETF Trust,N.A.,41.613
SSPX US Equity,JANUS HENDERSON US SUST EQTY,9/9/2021,Equity,Janus Detroit Street Trust,N.A.,41.409
SPMFX US Equity,SYMMETRY PANO MUNI F/I-I,5/1/2018,Fixed Income,Two Roads Shared Trust,N.A.,41.269
NSMAX US Equity,NUVEEN SMALL/MID CAP VAL-A,12/15/2006,Equity,Nuveen Investment Trust,N.A.,41.082
BUSRX US Equity,STERLING CAP ULT SH BND-A,11/30/2012,Fixed Income,Sterling Capital Funds,N.A.,41.028
MFQAX US Equity,AMG VERITAS GLOBAL FOCUS - N,3/1/2006,Equity,AMG Funds I,N.A.,41.002
IEHS US Equity,ISHARES EVOLVED US HEALTHCAR,3/21/2018,Equity,iShares ETFs/USA,Health Care,40.967
WBIL US Equity,WBI BULLBEAR QUALITY 3000 ET,8/27/2014,Equity,WBI ETFs/USA,N.A.,40.953
PAPPX US Equity,PAPP SMALL & MID-CAP GROWTH,3/8/2010,Equity,Papp Funds/USA,N.A.,40.951
NAPR US Equity,INNOVATOR GROWTH 100 POWER B,4/1/2020,Equity,Innovator ETF Trust,N.A.,40.868
OBND US Equity,SPDR LOOMIS SAYLES OPP BOND,9/28/2021,Fixed Income,State Street ETF/USA,N.A.,40.859
FEVR US Equity,INSPIRE FAITHWARD LARCAP MOM,12/8/2020,Equity,Northern Lights Fund Trust IV,N.A.,40.659
AZBO US Equity,ALLIANZIM US LARGE CAP BUFFE,10/1/2020,Equity,AIM ETF Products Trust,N.A.,40.604
EAFD US Equity,SIMPLIFY DEV EX-US PL DN CTY,1/11/2022,Equity,Simplify Exchange Traded Funds Trust,N.A.,40.592
CAMFX US Equity,CAMBIAR INTL SMALL CAP-INST,11/18/2014,Equity,Advisors' Inner Circle Fund/Cambiar Investors LLC,N.A.,40.543
MECIX US Equity,AMG GW&K INT SMALL CAP FD-I,6/25/1993,Equity,AMG Funds III,N.A.,40.526
PSHNX US Equity,PENN CAP SHRT DUR HI-INST,7/17/2017,Fixed Income,PENN Capital Funds Trust,N.A.,40.494
FMSGX US Equity,FRONTIER MFG GL SUS F-INST,10/9/2019,Equity,Frontier Funds Inc,Energy,40.351
SCGFX US Equity,FRIESS SMALL CAP GROWTH-INST,5/31/2017,Equity,Managed Portfolio Series,N.A.,40.309
CTRAX US Equity,CALAMOS TTL RTRN BND-A,6/27/2007,Fixed Income,Calamos Investment Trust,N.A.,40.284
GEBAX US Equity,GLDMN SCHS ESG EM MKT EQ-A,5/30/2018,Equity,Goldman Sachs Trust,N.A.,40.242
MBOX US Equity,FREEDOM DAY DIVIDEND ETF,5/5/2021,Equity,Alpha Architect ETFs/USA,N.A.,40.195
FLCGX US Equity,MEEDER QUANTEX FUND-RTL,3/20/1985,Equity,Meeder Funds,N.A.,40.158
FTORX US Equity,DELAWARE TAX FREE OR-A,5/4/1992,Fixed Income,Delaware Group Ltd-Term Government Funds,N.A.,39.902
DHINX US Equity,CENTRE GLOBAL INFRASTR-INST,1/29/2018,Equity,Centre Funds,Thematic,39.854
BGAMX US Equity,BLACKROCK GLOBAL IMPACT-A,4/29/2020,Equity,BlackRock Funds,N.A.,39.737
TPYAX US Equity,TOUCHSTONE INTL ESG EQ-A,12/3/2007,Equity,Touchstone Funds Group Trust,Thematic,39.73
IHYF US Equity,INVESCO HIGH YIELD BOND FACT,12/2/2020,Fixed Income,Invesco ETFs/USA,N.A.,39.693
UAPR US Equity,INNOVATOR U.S. EQUITY ULTRA,4/1/2019,Equity,Innovator ETF Trust,N.A.,39.691
GNXAX US Equity,ALPHCNTRC ROBOT & AUTO-A,5/31/2017,Equity,Mutual Fund Series Trust,Technology,39.673
PQEMX US Equity,PGIM QM SOL EMER MKT EQT F-Q,4/3/2017,Equity,Prudential Investment Portfolios 2,N.A.,39.571
KSMVX US Equity,KEELEY SMALL-MID CAP VAL-A,8/15/2007,Equity,Keeley Funds Inc/USA,N.A.,39.535
CSIAX US Equity,CENTERSTONE INTERNATION-A,3/5/2021,Equity,Northern Lights Fund Trust III/Centerstone Investors LLC,N.A.,39.412
BREDX US Equity,BLKRK SUST EM MKTS FLEX-K,2/1/2008,Fixed Income,BlackRock Funds,N.A.,39.217
JMADX US Equity,JH MAS NON-INVEST GRD CORP,7/9/2019,Fixed Income,John Hancock Strategic Series,N.A.,39.211
SIXO US Equity,ALLIANZIM US LARGE CAP 6 MON,10/1/2021,Equity,AIM ETF Products Trust,N.A.,39.205
AUBAX US Equity,INVESCO WRLD BND FCTR-A,3/31/2006,Fixed Income,AIM Investment Funds Invesco Investment Funds,N.A.,39.17
UFEB US Equity,INNOVATOR U.S. EQUITY ULTRA,2/3/2020,Equity,Innovator ETF Trust,N.A.,39.132
RMBPX US Equity,RMB JAPAN FUND-I,12/28/2017,Equity,RMB Investors Trust,N.A.,39.132
FQUAX US Equity,AMG RIVR ROD LRG CP VL SLT-N,3/1/2006,Equity,AMG Funds I,N.A.,39.089
MINO US Equity,PIMCO MUNICIPAL INCOME OPPOR,9/9/2021,Fixed Income,Pimco ETFs/USA,N.A.,39.028
JASCX US Equity,THE JAMES SMALL CAP FUND-A,10/2/1998,Equity,James Advantage Funds,N.A.,38.898
STNC US Equity,STANCE EQUITY ESG LRG CAP CO,3/16/2021,Equity,RBB Fund/Red Gate Advisers,N.A.,38.876
HVEIX US Equity,HVIA EQUITY FUND-INST,10/3/2016,Equity,Ultimus Managers Trust/Hudson Valley Investment Advisors Inc,N.A.,38.83
FOVAX US Equity,FIRST TRUST/CON S/C VALUE-A,2/24/2011,Equity,First Trust Series Fund,N.A.,38.711
IPLFX US Equity,POPULAR INCOME PLUS FUND-A,7/3/2007,Fixed Income,Popular Asset Management/USA,N.A.,38.706
HWGIX US Equity,HOTCHKIS & WILEY GL VAL-I,12/31/2012,Equity,Hotchkis and Wiley Funds/DE,N.A.,38.595
JGQIX US Equity,JENSEN GLBL QLTY GRW-I,12/31/2019,Equity,Trust For Professional Managers/Jensen Investment Management Inc,N.A.,38.558
VEGA US Equity,ADVSHRS STAR GBL BUY-WRITE,9/18/2012,Equity,AdvisorShares ETFs/USA,N.A.,38.555
EIPDX US Equity,PARAMETRIC DIV INCOME-INS,3/26/2014,Equity,Eaton Vance Mutual Funds Trust,N.A.,38.473
DMNBX US Equity,DFA MN MUNICIPAL BND PORT,7/25/2017,Fixed Income,DFA Investment Dimensions Group Inc,N.A.,38.352
JAVA US Equity,JPMORGAN ACTIVE VALUE ETF,10/5/2021,Equity,JP Morgan ETFs/USA,N.A.,38.238
