year,anxious_index,month,DATE
2016,13,01,2016-01
2016,14.6868,04,2016-04
2016,14.6276,07,2016-07
2016,15.6424,10,2016-10
2017,13.9536,01,2017-01
2017,11.2057,04,2017-04
2017,10.9203,07,2017-07
2017,10.46,10,2017-10
2018,10.4431,01,2018-01
2018,9.082,04,2018-04
2018,8.5913,07,2018-07
2018,10.531,10,2018-10
2019,10.6039,01,2019-01
2019,11.2447,04,2019-04
2019,13.1352,07,2019-07
2019,14.248,10,2019-10
2020,18.1394,01,2020-01
2020,14.8786,04,2020-04
2020,43.7714,07,2020-07
2020,20.3607,10,2020-10
2021,20.3571,01,2021-01
2021,12.7419,04,2021-04
2021,7.31,07,2021-07
2021,9.5,10,2021-10
2022,13.33,01,2022-01
2022,14.8074,04,2022-04
2022,,07,2022-07
2022,,10,2022-10
