year,month,day,anxious_index,consumer_sent,inflation,gdp_growth,hpi,interest_rate,m3,nrou,recession,rou,i_rate_growth
2000,6,3,5.262307692307693,106.52666666666669,172.23333333333332,0.0062925378367375,236.9092307692308,6.53,4772973333333.333,5.207414384615385,0,4.0,0.0414673046251994
2000,6,4,5.240439560439561,106.59,172.25,0.0061034379598038,236.956043956044,6.53,4773560000000.0,5.207299978021978,0,4.0,0.0414673046251994
2000,6,5,5.218571428571429,106.65333333333334,172.26666666666665,0.0059143380828702,237.00285714285715,6.53,4774146666666.667,5.207185571428571,0,4.0,0.0414673046251994
2000,6,6,5.196703296703297,106.71666666666668,172.28333333333333,0.0057252382059365,237.04967032967036,6.53,4774733333333.333,5.207071164835165,0,4.0,0.0414673046251994
2000,6,7,5.174835164835165,106.78,172.29999999999998,0.0055361383290029,237.09648351648352,6.53,4775320000000.0,5.206956758241758,0,4.0,0.0414673046251994
2000,6,8,5.152967032967033,106.84333333333332,172.31666666666666,0.0053470384520692,237.1432967032967,6.53,4775906666666.667,5.206842351648351,0,4.0,0.0414673046251994
2000,6,9,5.131098901098901,106.90666666666668,172.33333333333331,0.0051579385751356,237.19010989010988,6.53,4776493333333.333,5.206727945054945,0,4.0,0.0414673046251994
2000,6,10,5.10923076923077,106.97,172.35,0.0049688386982019,237.2369230769231,6.53,4777080000000.0,5.206613538461538,0,4.0,0.0414673046251994
2000,6,11,5.087362637362638,107.03333333333332,172.36666666666665,0.0047797388212682,237.28373626373627,6.53,4777666666666.667,5.206499131868132,0,4.0,0.0414673046251994
2000,6,12,5.065494505494506,107.09666666666666,172.38333333333333,0.0045906389443346,237.33054945054943,6.53,4778253333333.333,5.2063847252747255,0,4.0,0.0414673046251994
2000,6,13,5.043626373626374,107.16,172.39999999999998,0.0044015390674009,237.37736263736264,6.53,4778840000000.0,5.206270318681319,0,4.0,0.0414673046251994
2000,6,14,5.021758241758242,107.22333333333331,172.41666666666666,0.0042124391904673,237.42417582417585,6.53,4779426666666.667,5.206155912087912,0,4.0,0.0414673046251994
2000,6,15,4.99989010989011,107.28666666666666,172.4333333333333,0.0040233393135336,237.470989010989,6.53,4780013333333.333,5.206041505494506,0,4.0,0.0414673046251994
2000,6,16,4.978021978021978,107.35,172.45,0.0038342394366,237.5178021978022,6.53,4780600000000.0,5.205927098901099,0,4.0,0.0414673046251994
2000,6,17,4.956153846153846,107.41333333333334,172.46666666666667,0.0036451395596663,237.5646153846154,6.53,4781186666666.667,5.205812692307692,0,4.0,0.0414673046251994
2000,6,18,4.934285714285714,107.47666666666667,172.48333333333332,0.0034560396827327,237.61142857142855,6.53,4781773333333.333,5.205698285714286,0,4.0,0.0414673046251994
2000,6,19,4.912417582417582,107.54,172.5,0.003266939805799,237.65824175824176,6.53,4782360000000.0,5.205583879120879,0,4.0,0.0414673046251994
2000,6,20,4.890549450549451,107.60333333333334,172.51666666666665,0.0030778399288654,237.7050549450549,6.53,4782946666666.667,5.205469472527472,0,4.0,0.0414673046251994
2000,6,21,4.868681318681319,107.66666666666669,172.53333333333333,0.0028887400519317,237.7518681318681,6.53,4783533333333.333,5.205355065934066,0,4.0,0.0414673046251994
2000,6,22,4.846813186813187,107.73,172.54999999999998,0.0026996401749981,237.79868131868133,6.53,4784120000000.0,5.205240659340659,0,4.0,0.0414673046251994
2000,6,23,4.824945054945055,107.79333333333334,172.56666666666666,0.0025105402980644,237.8454945054945,6.53,4784706666666.667,5.205126252747252,0,4.0,0.0414673046251994
2000,6,24,4.803076923076923,107.85666666666668,172.58333333333331,0.0023214404211307,237.8923076923077,6.53,4785293333333.333,5.205011846153846,0,4.0,0.0414673046251994
2000,6,25,4.781208791208791,107.92,172.6,0.0021323405441971,237.93912087912088,6.53,4785880000000.0,5.20489743956044,0,4.0,0.0414673046251994
2000,6,26,4.75934065934066,107.98333333333332,172.61666666666665,0.0019432406672634,237.9859340659341,6.53,4786466666666.667,5.204783032967033,0,4.0,0.0414673046251994
2000,6,27,4.737472527472528,108.04666666666668,172.63333333333333,0.0017541407903298,238.03274725274724,6.53,4787053333333.333,5.204668626373627,0,4.0,0.0414673046251994
2000,6,28,4.715604395604396,108.11,172.64999999999998,0.0015650409133961,238.07956043956045,6.53,4787640000000.0,5.20455421978022,0,4.0,0.0414673046251994
2000,6,29,4.693736263736264,108.17333333333332,172.66666666666666,0.0013759410364625,238.12637362637363,6.53,4788226666666.667,5.204439813186813,0,4.0,0.0414673046251994
2000,6,30,4.671868131868132,108.23666666666666,172.6833333333333,0.0011868411595288,238.1731868131868,6.53,4788813333333.333,5.204325406593407,0,4.0,0.0414673046251994
2000,7,1,4.65,108.3,172.7,0.0009977412825952,238.22,6.54,4789400000000.0,5.204211,0,4.0,0.0015313935681469
2000,7,2,4.670434782608696,108.26774193548388,172.7,0.0010515008072563,238.25967391304349,6.54,4790306451612.903,5.204097086956522,0,4.003225806451613,0.0015313935681469
2000,7,3,4.690869565217391,108.23548387096774,172.7,0.0011052603319175,238.29934782608692,6.54,4791212903225.807,5.203983173913043,0,4.006451612903226,0.0015313935681469
2000,7,4,4.711304347826087,108.2032258064516,172.7,0.0011590198565786,238.33902173913043,6.54,4792119354838.71,5.203869260869565,0,4.009677419354839,0.0015313935681469
2000,7,5,4.731739130434783,108.17096774193548,172.7,0.0012127793812398,238.37869565217392,6.54,4793025806451.613,5.203755347826087,0,4.012903225806451,0.0015313935681469
2000,7,6,4.752173913043479,108.13870967741936,172.7,0.0012665389059009,238.4183695652174,6.54,4793932258064.517,5.203641434782608,0,4.016129032258064,0.0015313935681469
2000,7,7,4.772608695652174,108.10645161290324,172.7,0.0013202984305621,238.4580434782609,6.54,4794838709677.419,5.20352752173913,0,4.019354838709678,0.0015313935681469
2000,7,8,4.79304347826087,108.0741935483871,172.7,0.0013740579552232,238.49771739130435,6.54,4795745161290.322,5.203413608695652,0,4.02258064516129,0.0015313935681469
2000,7,9,4.813478260869566,108.04193548387096,172.7,0.0014278174798843,238.53739130434784,6.54,4796651612903.226,5.2032996956521735,0,4.025806451612903,0.0015313935681469
2000,7,10,4.833913043478261,108.00967741935484,172.7,0.0014815770045455,238.5770652173913,6.54,4797558064516.129,5.203185782608696,0,4.029032258064516,0.0015313935681469
2000,7,11,4.854347826086957,107.9774193548387,172.7,0.0015353365292066,238.6167391304348,6.54,4798464516129.032,5.203071869565218,0,4.032258064516129,0.0015313935681469
2000,7,12,4.874782608695653,107.94516129032256,172.7,0.0015890960538678,238.65641304347827,6.54,4799370967741.936,5.202957956521739,0,4.035483870967742,0.0015313935681469
2000,7,13,4.895217391304348,107.91290322580645,172.7,0.0016428555785289,238.69608695652173,6.54,4800277419354.839,5.202844043478261,0,4.038709677419354,0.0015313935681469
2000,7,14,4.915652173913044,107.88064516129032,172.7,0.0016966151031901,238.7357608695652,6.54,4801183870967.742,5.202730130434783,0,4.041935483870968,0.0015313935681469
2000,7,15,4.93608695652174,107.8483870967742,172.7,0.0017503746278512,238.7754347826087,6.54,4802090322580.6455,5.202616217391304,0,4.04516129032258,0.0015313935681469
2000,7,16,4.956521739130436,107.81612903225806,172.7,0.0018041341525124,238.81510869565216,6.54,4802996774193.549,5.202502304347826,0,4.048387096774193,0.0015313935681469
2000,7,17,4.9769565217391305,107.78387096774192,172.7,0.0018578936771735,238.85478260869564,6.54,4803903225806.451,5.202388391304348,0,4.051612903225807,0.0015313935681469
2000,7,18,4.997391304347826,107.7516129032258,172.7,0.0019116532018347,238.89445652173916,6.54,4804809677419.3545,5.202274478260869,0,4.054838709677419,0.0015313935681469
2000,7,19,5.017826086956522,107.71935483870968,172.7,0.0019654127264958,238.93413043478265,6.54,4805716129032.258,5.202160565217391,0,4.058064516129032,0.0015313935681469
2000,7,20,5.038260869565217,107.68709677419356,172.7,0.002019172251157,238.97380434782607,6.54,4806622580645.161,5.202046652173913,0,4.061290322580645,0.0015313935681469
2000,7,21,5.058695652173913,107.65483870967742,172.7,0.0020729317758181,239.0134782608696,6.54,4807529032258.064,5.201932739130434,0,4.064516129032258,0.0015313935681469
2000,7,22,5.079130434782609,107.62258064516128,172.7,0.0021266913004792,239.05315217391305,6.54,4808435483870.968,5.2018188260869564,0,4.067741935483871,0.0015313935681469
2000,7,23,5.099565217391305,107.59032258064516,172.7,0.0021804508251404,239.0928260869565,6.54,4809341935483.871,5.201704913043479,0,4.070967741935483,0.0015313935681469
2000,7,24,5.12,107.55806451612904,172.7,0.0022342103498015,239.1325,6.54,4810248387096.774,5.201591,0,4.074193548387097,0.0015313935681469
2000,7,25,5.140434782608696,107.5258064516129,172.7,0.0022879698744627,239.17217391304348,6.54,4811154838709.678,5.201477086956522,0,4.077419354838709,0.0015313935681469
2000,7,26,5.160869565217392,107.49354838709677,172.7,0.0023417293991238,239.21184782608697,6.54,4812061290322.581,5.201363173913044,0,4.080645161290322,0.0015313935681469
2000,7,27,5.181304347826087,107.46129032258064,172.7,0.002395488923785,239.2515217391304,6.54,4812967741935.483,5.201249260869565,0,4.083870967741936,0.0015313935681469
2000,7,28,5.201739130434783,107.42903225806452,172.7,0.0024492484484461,239.2911956521739,6.54,4813874193548.387,5.201135347826087,0,4.087096774193548,0.0015313935681469
2000,7,29,5.222173913043479,107.39677419354838,172.7,0.0025030079731073,239.3308695652174,6.54,4814780645161.29,5.201021434782609,0,4.090322580645161,0.0015313935681469
2000,7,30,5.242608695652175,107.36451612903224,172.7,0.0025567674977684,239.37054347826088,6.54,4815687096774.193,5.20090752173913,0,4.0935483870967735,0.0015313935681469
2000,7,31,5.26304347826087,107.33225806451613,172.7,0.0026105270224296,239.41021739130437,6.54,4816593548387.097,5.200793608695652,0,4.096774193548387,0.0015313935681469
2000,8,1,5.283478260869566,107.3,172.7,0.0026642865470907,239.44989130434783,6.5,4817500000000.0,5.200679695652174,0,4.1,-0.0061162079510703
2000,8,2,5.3039130434782615,107.28387096774192,172.7290322580645,0.0027180460717519,239.4895652173913,6.5,4818651612903.226,5.200565782608695,0,4.0935483870967735,-0.0061162079510703
2000,8,3,5.324347826086957,107.26774193548388,172.75806451612902,0.002771805596413,239.5292391304348,6.5,4819803225806.451,5.200451869565217,0,4.087096774193548,-0.0061162079510703
2000,8,4,5.3447826086956525,107.2516129032258,172.78709677419354,0.0028255651210742,239.56891304347823,6.5,4820954838709.678,5.200337956521739,0,4.080645161290322,-0.0061162079510703
