DATE,FEDFUNDS
1954-07-01,
1954-08-01,0.5249999999999999
1954-09-01,-0.12295081967213106
1954-10-01,-0.20560747663551404
1954-11-01,-0.02352941176470591
1954-12-01,0.5421686746987953
1955-01-01,0.0859375
1955-02-01,-0.07194244604316535
1955-03-01,0.04651162790697683
1955-04-01,0.05925925925925912
1955-05-01,0.0
1955-06-01,0.14685314685314688
1955-07-01,0.024390243902439046
1955-08-01,0.16666666666666674
1955-09-01,0.11224489795918369
1955-10-01,0.02752293577981657
1955-11-01,0.049107142857142794
1955-12-01,0.05531914893617018
1956-01-01,-0.012096774193548265
1956-02-01,0.020408163265306145
1956-03-01,0.0
1956-04-01,0.04800000000000004
1956-05-01,0.04961832061068705
1956-06-01,-0.014545454545454528
1956-07-01,0.014760147601476037
1956-08-01,-0.0072727272727273196
1956-09-01,0.08058608058608074
1956-10-01,0.003389830508474523
1956-11-01,-0.027027027027027084
1956-12-01,0.02083333333333326
1957-01-01,-0.03401360544217691
1957-02-01,0.05633802816901423
1957-03-01,-0.013333333333333308
1957-04-01,0.013513513513513598
1957-05-01,0.0
1957-06-01,0.0
1957-07-01,-0.0033333333333332993
1957-08-01,0.08361204013377921
1957-09-01,0.07098765432098775
1957-10-01,0.008645533141210304
1957-11-01,-0.06285714285714294
1957-12-01,-0.09146341463414631
1958-01-01,-0.08724832214765088
1958-02-01,-0.38602941176470595
1958-03-01,-0.281437125748503
1958-04-01,0.050000000000000044
1958-05-01,-0.5
1958-06-01,0.4761904761904763
1958-07-01,-0.26881720430107525
1958-08-01,1.25
1958-09-01,0.15032679738562083
1958-10-01,0.022727272727272707
1958-11-01,0.26111111111111107
1958-12-01,0.06607929515418509
1959-01-01,0.024793388429751984
1959-02-01,-0.020161290322580627
1959-03-01,0.15226337448559657
1959-04-01,0.05714285714285716
1959-05-01,-0.020270270270270285
1959-06-01,0.16896551724137931
1959-07-01,0.02359882005899716
1959-08-01,0.008645533141210304
1959-09-01,0.07428571428571429
1959-10-01,0.0585106382978724
1959-11-01,0.005025125628140614
1959-12-01,-0.0024999999999999467
1960-01-01,0.0
1960-02-01,-0.005012531328320802
1960-03-01,-0.032745591939546737
1960-04-01,0.02083333333333326
1960-05-01,-0.017857142857142794
1960-06-01,-0.1376623376623377
1960-07-01,-0.027108433734939763
1960-08-01,-0.07739938080495357
1960-09-01,-0.12751677852348986
1960-10-01,-0.04999999999999993
1960-11-01,-0.012145748987854366
1960-12-01,-0.1885245901639344
1961-01-01,-0.26767676767676774
1961-02-01,0.7517241379310347
1961-03-01,-0.20472440944881887
1961-04-01,-0.2623762376237624
1961-05-01,0.32885906040268464
1961-06-01,-0.1262626262626263
1961-07-01,-0.323699421965318
1961-08-01,0.7094017094017095
1961-09-01,-0.06000000000000005
1961-10-01,0.2021276595744681
1961-11-01,0.15486725663716827
1961-12-01,-0.10727969348658994
1962-01-01,-0.07725321888412029
1962-02-01,0.10232558139534897
1962-03-01,0.20253164556962022
1962-04-01,-0.024561403508772006
1962-05-01,-0.15107913669064743
1962-06-01,0.13559322033898313
1962-07-01,0.011194029850746245
1962-08-01,0.08118081180811809
1962-09-01,-0.010238907849829393
1962-10-01,0.0
1962-11-01,0.01379310344827589
1962-12-01,-0.00340136054421758
1963-01-01,-0.0034129692832765013
1963-02-01,0.027397260273972712
1963-03-01,-0.00666666666666671
1963-04-01,-0.02684563758389269
1963-05-01,0.034482758620689724
1963-06-01,-0.0033333333333332993
1963-07-01,0.010033444816053505
1963-08-01,0.1556291390728477
1963-09-01,-0.002865329512894088
1963-10-01,0.005747126436781658
1963-11-01,-0.005714285714285672
1963-12-01,-0.028735632183908066
1964-01-01,0.029585798816567976
1964-02-01,0.0
1964-03-01,-0.014367816091953922
1964-04-01,0.011661807580174877
1964-05-01,0.008645533141210304
1964-06-01,0.0
1964-07-01,-0.02285714285714291
1964-08-01,0.023391812865497075
1964-09-01,-0.014285714285714235
1964-10-01,-0.026086956521739202
1964-11-01,0.04761904761904767
1964-12-01,0.09375
1965-01-01,0.01298701298701288
1965-02-01,0.02051282051282044
1965-03-01,0.017587939698492372
1965-04-01,0.009876543209876631
1965-05-01,0.0024449877750609694
1965-06-01,-0.012195121951219523
1965-07-01,0.009876543209876631
1965-08-01,0.007334963325183352
1965-09-01,-0.024271844660194275
1965-10-01,0.014925373134328401
1965-11-01,0.004901960784313708
1965-12-01,0.05365853658536612
1966-01-01,0.02314814814814814
1966-02-01,0.040723981900452344
1966-03-01,0.013043478260869712
1966-04-01,0.0021459227467810482
1966-05-01,0.04925053533190593
1966-06-01,0.055102040816326525
1966-07-01,0.025145067698259194
1966-08-01,0.04339622641509444
1966-09-01,-0.023508137432188048
1966-10-01,0.024074074074074137
1966-11-01,0.04159132007233257
1966-12-01,-0.06249999999999989
1967-01-01,-0.08518518518518514
1967-02-01,0.012145748987854255
1967-03-01,-0.09399999999999997
1967-04-01,-0.10596026490066235
1967-05-01,-0.02716049382716046
1967-06-01,0.010152284263959421
1967-07-01,-0.047738693467336724
1967-08-01,0.029023746701847042
1967-09-01,0.023076923076923217
1967-10-01,-0.027568922305764465
1967-11-01,0.06443298969072164
1967-12-01,0.09200968523002429
1968-01-01,0.022172949002217335
1968-02-01,0.021691973969631073
1968-03-01,0.0721868365180467
1968-04-01,0.1405940594059405
1968-05-01,0.0625
1968-06-01,-0.008169934640522847
1968-07-01,-0.00658978583196046
1968-08-01,0.0
1968-09-01,-0.041459369817578806
1968-10-01,0.02249134948096887
1968-11-01,-0.015228426395939021
1968-12-01,0.03436426116838476
