year,month,GDPC1
1947,1,
1947,2,
1947,3,
1947,4,-0.0026670598933373757
1947,5,-0.0026670598933373757
1947,6,-0.0026670598933373757
1947,7,-0.002065032251959531
1947,8,-0.002065032251959531
1947,9,-0.002065032251959531
1947,10,0.015642763801872128
1947,11,0.015642763801872128
1947,12,0.015642763801872128
1948,1,0.01504200324044458
1948,2,0.01504200324044458
1948,3,0.01504200324044458
1948,4,0.01650680593760212
1948,5,0.01650680593760212
1948,6,0.01650680593760212
1948,7,0.005729301913050655
1948,8,0.005729301913050655
1948,9,0.005729301913050655
1948,10,0.0011171215750664931
1948,11,0.0011171215750664931
1948,12,0.0011171215750664931
1949,1,-0.013779464904233096
1949,2,-0.013779464904233096
1949,3,-0.013779464904233096
1949,4,-0.0034110092971006978
1949,5,-0.0034110092971006978
1949,6,-0.0034110092971006978
1949,7,0.010324247766706929
1949,8,0.010324247766706929
1949,9,0.010324247766706929
1949,10,-0.008392674404299139
1949,11,-0.008392674404299139
1949,12,-0.008392674404299139
1950,1,0.03930097999323068
1950,2,0.03930097999323068
1950,3,0.03930097999323068
1950,4,0.030498109876438972
1950,5,0.030498109876438972
1950,6,0.030498109876438972
1950,7,0.03864414603347921
1950,8,0.03864414603347921
1950,9,0.03864414603347921
1950,10,0.01914780147274997
1950,11,0.01914780147274997
1950,12,0.01914780147274997
1951,1,0.013581587642352844
1951,2,0.013581587642352844
1951,3,0.013581587642352844
1951,4,0.017327104373413116
1951,5,0.017327104373413116
1951,6,0.017327104373413116
1951,7,0.020609987979811395
1951,8,0.020609987979811395
1951,9,0.020609987979811395
1951,10,0.0022024957368478315
1951,11,0.0022024957368478315
1951,12,0.0022024957368478315
1952,1,0.010685344087321136
1952,2,0.010685344087321136
1952,3,0.010685344087321136
1952,4,0.0021539669415635565
1952,5,0.0021539669415635565
1952,6,0.0021539669415635565
1952,7,0.007218492151150446
1952,8,0.007218492151150446
1952,9,0.007218492151150446
1952,10,0.03284215711222216
1952,11,0.03284215711222216
1952,12,0.03284215711222216
1953,1,0.018588674823075912
1953,2,0.018588674823075912
1953,3,0.018588674823075912
1953,4,0.007729380201274116
1953,5,0.007729380201274116
1953,6,0.007729380201274116
1953,7,-0.005626770311766061
1953,8,-0.005626770311766061
1953,9,-0.005626770311766061
1953,10,-0.015139406296922342
1953,11,-0.015139406296922342
1953,12,-0.015139406296922342
1954,1,-0.0047802388768241055
1954,2,-0.0047802388768241055
1954,3,-0.0047802388768241055
1954,4,0.0010899219555540185
1954,5,0.0010899219555540185
1954,6,0.0010899219555540185
1954,7,0.011293462766005513
1954,8,0.011293462766005513
1954,9,0.011293462766005513
1954,10,0.01956688076518165
1954,11,0.01956688076518165
1954,12,0.01956688076518165
1955,1,0.028562346545071948
1955,2,0.028562346545071948
1955,3,0.028562346545071948
1955,4,0.016272049572062963
1955,5,0.016272049572062963
1955,6,0.016272049572062963
1955,7,0.013504642876367212
1955,8,0.013504642876367212
1955,9,0.013504642876367212
1955,10,0.006003287374921618
1955,11,0.006003287374921618
1955,12,0.006003287374921618
1956,1,-0.0038838046818890914
1956,2,-0.0038838046818890914
1956,3,-0.0038838046818890914
1956,4,0.00826319426663047
1956,5,0.00826319426663047
1956,6,0.00826319426663047
1956,7,-0.0008983959263615393
1956,8,-0.0008983959263615393
1956,9,-0.0008983959263615393
1956,10,0.01645864038477174
1956,11,0.01645864038477174
1956,12,0.01645864038477174
1957,1,0.006402911526551591
1957,2,0.006402911526551591
1957,3,0.006402911526551591
1957,4,-0.002190859240967402
1957,5,-0.002190859240967402
1957,6,-0.002190859240967402
1957,7,0.009800184021214964
1957,8,0.009800184021214964
1957,9,0.009800184021214964
1957,10,-0.0103427965524453
1957,11,-0.0103427965524453
1957,12,-0.0103427965524453
1958,1,-0.025954400448794712
1958,2,-0.025954400448794712
1958,3,-0.025954400448794712
1958,4,0.006572267260281928
1958,5,0.006572267260281928
1958,6,0.006572267260281928
1958,7,0.023132170410894437
1958,8,0.023132170410894437
1958,9,0.023132170410894437
1958,10,0.02338109559842838
1958,11,0.02338109559842838
1958,12,0.02338109559842838
1959,1,0.01919552803606761
1959,2,0.01919552803606761
1959,3,0.01919552803606761
1959,4,0.022551695306433084
1959,5,0.022551695306433084
1959,6,0.022551695306433084
1959,7,0.0007056034114389931
1959,8,0.0007056034114389931
1959,9,0.0007056034114389931
1959,10,0.002848890553113881
1959,11,0.002848890553113881
1959,12,0.002848890553113881
1960,1,0.02247714291953007
1960,2,0.02247714291953007
1960,3,0.02247714291953007
1960,4,-0.005390733612642751
1960,5,-0.005390733612642751
1960,6,-0.005390733612642751
1960,7,0.004894212798875586
1960,8,0.004894212798875586
1960,9,0.004894212798875586
1960,10,-0.012834033294741087
1960,11,-0.012834033294741087
1960,12,-0.012834033294741087
1961,1,0.006749045402922205
1961,2,0.006749045402922205
1961,3,0.006749045402922205
1961,4,0.01697434268841258
1961,5,0.01697434268841258
1961,6,0.01697434268841258
1961,7,0.019195869993213988
1961,8,0.019195869993213988
1961,9,0.019195869993213988
1961,10,0.01961098063200084
1961,11,0.01961098063200084
1961,12,0.01961098063200084
1962,1,0.017836488106101722
1962,2,0.017836488106101722
1962,3,0.017836488106101722
1962,4,0.009036638230099259
1962,5,0.009036638230099259
1962,6,0.009036638230099259
1962,7,0.01228513047875368
1962,8,0.01228513047875368
1962,9,0.01228513047875368
1962,10,0.003289015760775671
1962,11,0.003289015760775671
1962,12,0.003289015760775671
1963,1,0.010915743322612137
1963,2,0.010915743322612137
1963,3,0.010915743322612137
